ID,KEY,COUNT,AVG_POSITION
35917,JURISPRUDENCIA-SELECIONADA-35917,15,2.8666666666666667
36637,JURISPRUDENCIA-SELECIONADA-36637,15,2.1333333333333333
21800,JURISPRUDENCIA-SELECIONADA-21800,15,1.2666666666666666
43319,JURISPRUDENCIA-SELECIONADA-43319,15,1.0
104189,JURISPRUDENCIA-SELECIONADA-104189,15,7.133333333333334
17226,JURISPRUDENCIA-SELECIONADA-17226,14,1.0714285714285714
97730,JURISPRUDENCIA-SELECIONADA-97730,14,2.7142857142857144
15722,JURISPRUDENCIA-SELECIONADA-15722,14,3.357142857142857
140750,JURISPRUDENCIA-SELECIONADA-140750,14,1.4285714285714286
17090,JURISPRUDENCIA-SELECIONADA-17090,14,2.142857142857143
80896,JURISPRUDENCIA-SELECIONADA-80896,14,2.2142857142857144
131507,JURISPRUDENCIA-SELECIONADA-131507,14,1.7142857142857144
34116,JURISPRUDENCIA-SELECIONADA-34116,14,1.5
40643,JURISPRUDENCIA-SELECIONADA-40643,14,4.5
22152,JURISPRUDENCIA-SELECIONADA-22152,14,2.7857142857142856
26488,JURISPRUDENCIA-SELECIONADA-26488,14,3.0
17331,JURISPRUDENCIA-SELECIONADA-17331,14,4.428571428571429
19614,JURISPRUDENCIA-SELECIONADA-19614,14,1.0
34633,JURISPRUDENCIA-SELECIONADA-34633,14,2.357142857142857
18017,JURISPRUDENCIA-SELECIONADA-18017,13,2.0
17215,JURISPRUDENCIA-SELECIONADA-17215,13,2.1538461538461537
17993,JURISPRUDENCIA-SELECIONADA-17993,13,2.4615384615384617
17209,JURISPRUDENCIA-SELECIONADA-17209,13,2.0
21053,JURISPRUDENCIA-SELECIONADA-21053,13,1.6923076923076923
17027,JURISPRUDENCIA-SELECIONADA-17027,13,1.6153846153846154
17058,JURISPRUDENCIA-SELECIONADA-17058,13,3.0
181,JURISPRUDENCIA-SELECIONADA-LEGADA-181,13,1.0
32617,JURISPRUDENCIA-SELECIONADA-32617,13,3.5384615384615383
17203,JURISPRUDENCIA-SELECIONADA-17203,13,4.076923076923077
62306,JURISPRUDENCIA-SELECIONADA-62306,13,6.6923076923076925
