ID,KEY,COUNT,QUERY
116547,JURISPRUDENCIA-SELECIONADA-116547,9,"28, §3º, inciso i da lei 13.303/2016"
21840,JURISPRUDENCIA-SELECIONADA-21840,9,marca e padronização
22115,JURISPRUDENCIA-SELECIONADA-22115,9,vínculo e licitação
143062,JURISPRUDENCIA-SELECIONADA-143062,9,prescrição e mérito
133563,JURISPRUDENCIA-SELECIONADA-133563,9,técnica e preço
15532,JURISPRUDENCIA-SELECIONADA-15532,9,aditivo e compensação
81939,JURISPRUDENCIA-SELECIONADA-81939,9,responsabilidade e prefeito e convênio
134263,JURISPRUDENCIA-SELECIONADA-134263,9,acúmulo e pensão e morte e militar
21864,JURISPRUDENCIA-SELECIONADA-21864,9,pesquisa e mercado e preço
133563,JURISPRUDENCIA-SELECIONADA-133563,9,"""técnica e preço"""
33928,JURISPRUDENCIA-SELECIONADA-33928,9,salário e terceirização
18936,JURISPRUDENCIA-SELECIONADA-18936,9,aditivo e compensação
144207,JURISPRUDENCIA-SELECIONADA-144207,9,arquivamento e falta adj2 pressupostos e in
75314,JURISPRUDENCIA-SELECIONADA-75314,9,vínculo e licitação
125740,JURISPRUDENCIA-SELECIONADA-125740,8,balanço e mei
19398,JURISPRUDENCIA-SELECIONADA-19398,8,preço estimado e pregão
93013,JURISPRUDENCIA-SELECIONADA-93013,8,tempo e faltante e exiguidade
122153,JURISPRUDENCIA-SELECIONADA-122153,8,tabela e oficial e obras
14895,JURISPRUDENCIA-SELECIONADA-14895,8,preço estimado e pregão
17945,JURISPRUDENCIA-SELECIONADA-17945,8,"""restrição"" e ""competitividade"" e ""licitação"" e ""qualificação técnica"""
19355,JURISPRUDENCIA-SELECIONADA-19355,8,terceirização de serviços e administração pública
18089,JURISPRUDENCIA-SELECIONADA-18089,8,despesa e sem e cobertura e contratual
32572,JURISPRUDENCIA-SELECIONADA-32572,8,fusão e cisão e incorporação
21859,JURISPRUDENCIA-SELECIONADA-21859,8,atestado de capacidade técnica e atestado e prazo de validade
25478,JURISPRUDENCIA-SELECIONADA-25478,8,diarias  e passagens
452,JURISPRUDENCIA-SELECIONADA-452,8,princípio da eficiência e da estrita legalidade
114057,JURISPRUDENCIA-SELECIONADA-114057,8,concurso adj público e aproveitamento
17359,JURISPRUDENCIA-SELECIONADA-17359,8,pregão e quantidades
132154,JURISPRUDENCIA-SELECIONADA-132154,8,resposta a impugnação 
22944,JURISPRUDENCIA-SELECIONADA-22944,8,pesquisa e mercado e preço
104189,JURISPRUDENCIA-SELECIONADA-104189,8,equilíbrio e econômico e financeiro
71729,JURISPRUDENCIA-SELECIONADA-71729,8,erro e planilha
55607,JURISPRUDENCIA-SELECIONADA-55607,8,qualificação econômico-financeira e capacidade técnica
33113,JURISPRUDENCIA-SELECIONADA-33113,8, convenção coletiva e sindicato
18013,JURISPRUDENCIA-SELECIONADA-18013,8,prorrogação e emergencial
31788,JURISPRUDENCIA-SELECIONADA-31788,8,nomeação e após e prazo
32974,JURISPRUDENCIA-SELECIONADA-32974,8,dispensa e licitação e limite e natureza e despesa
21088,JURISPRUDENCIA-SELECIONADA-21088,8,pesquisa e mercado e preço
104455,JURISPRUDENCIA-SELECIONADA-104455,8,aditivo e compensação
87314,JURISPRUDENCIA-SELECIONADA-87314,8,fraude e parecer jurídico
93703,JURISPRUDENCIA-SELECIONADA-93703,7,"""boa-fé"" e erro"
21828,JURISPRUDENCIA-SELECIONADA-21828,7,pesquisa e mercado e preço
32443,JURISPRUDENCIA-SELECIONADA-32443,7,habilitação e restrição
109711,JURISPRUDENCIA-SELECIONADA-109711,7,aditivo e compensação
54852,JURISPRUDENCIA-SELECIONADA-54852,7,pesquisa e preço
50140,JURISPRUDENCIA-SELECIONADA-50140,7,pesquisa e preço
54843,JURISPRUDENCIA-SELECIONADA-54843,7,sicro e sinapi
110937,JURISPRUDENCIA-SELECIONADA-110937,7,qualificação técnica e alvará ou licença
35917,JURISPRUDENCIA-SELECIONADA-35917,7,marca e padronização
34321,JURISPRUDENCIA-SELECIONADA-34321,7,marca e padronização
17895,JURISPRUDENCIA-SELECIONADA-17895,7,preço estimado e pregão
91401,JURISPRUDENCIA-SELECIONADA-91401,7,"""sanção"" e ""empresas do mesmo grupo econômico"" e ""estender"""
38932,JURISPRUDENCIA-SELECIONADA-38932,7,nota e fiscal
117370,JURISPRUDENCIA-SELECIONADA-117370,7,pesquisa e preço
78857,JURISPRUDENCIA-SELECIONADA-78857,7,ana arraes e saúde
86727,JURISPRUDENCIA-SELECIONADA-86727,7,sobrepreço e medicamento
20831,JURISPRUDENCIA-SELECIONADA-20831,7,empresa pequeno porte  e faturamento
30371,JURISPRUDENCIA-SELECIONADA-30371,7,diarias  e passagens
43319,JURISPRUDENCIA-SELECIONADA-43319,7,reajuste e atraso
31104,JURISPRUDENCIA-SELECIONADA-31104,7,reajuste e automatico
47161,JURISPRUDENCIA-SELECIONADA-47161,7,"""técnica e preço"""
22166,JURISPRUDENCIA-SELECIONADA-22166,7,pesquisa e mercado e preço
18950,JURISPRUDENCIA-SELECIONADA-18950,7,despesa e sem e cobertura e contratual
32642,JURISPRUDENCIA-SELECIONADA-32642,7,não considerar os custos com a mobilização
76845,JURISPRUDENCIA-SELECIONADA-76845,7,"""boa-fé"" e erro"
28946,JURISPRUDENCIA-SELECIONADA-28946,7,adicional de insalubridade e planilha
11611,JURISPRUDENCIA-SELECIONADA-11611,7,aditivo e compensação
64207,JURISPRUDENCIA-SELECIONADA-64207,7,consórcio e possibilidade e competitividade
103548,JURISPRUDENCIA-SELECIONADA-103548,7,vedada a fixação de remuneração mínima de mão de obra no edital quando os serviços prestados pelo contratado devam ser medidos e pagos por resultado
130292,JURISPRUDENCIA-SELECIONADA-130292,7,"""licitação"" e ""apresentação"" e ""propostas"""
104455,JURISPRUDENCIA-SELECIONADA-104455,7,acréscimos e supressões
77959,JURISPRUDENCIA-SELECIONADA-77959,7,restos a pagar
21159,JURISPRUDENCIA-SELECIONADA-21159,7,"""técnica e preço"""
79602,JURISPRUDENCIA-SELECIONADA-79602,7,parcerias entre poder público e entidades
31437,JURISPRUDENCIA-SELECIONADA-31437,6,restos a pagar
17058,JURISPRUDENCIA-SELECIONADA-17058,6,licitante e inabilitação e documento
17206,JURISPRUDENCIA-SELECIONADA-17206,6,aditivo e compensação
31507,JURISPRUDENCIA-SELECIONADA-31507,6,cursos e inexigibilidade
31633,JURISPRUDENCIA-SELECIONADA-31633,6,não considerar os custos com a mobilização
17173,JURISPRUDENCIA-SELECIONADA-17173,6,preço estimado e pregão
55195,JURISPRUDENCIA-SELECIONADA-55195,6,ana arraes e saúde
26060,JURISPRUDENCIA-SELECIONADA-26060,6,ana arraes e saúde
133580,JURISPRUDENCIA-SELECIONADA-133580,6,art. e 24 e lindb
25428,JURISPRUDENCIA-SELECIONADA-25428,6,recursos e fgts e tcu
35133,JURISPRUDENCIA-SELECIONADA-35133,6,não considerar os custos com a mobilização
21229,JURISPRUDENCIA-SELECIONADA-21229,6,"""técnica e preço"""
98454,JURISPRUDENCIA-SELECIONADA-98454,6,"""impedimento de licitar"" e ""abrangência"""
73704,JURISPRUDENCIA-SELECIONADA-73704,6,não considerar os custos com a mobilização
135549,JURISPRUDENCIA-SELECIONADA-135549,6,declaração microempresa e empresa de pequeno porte
20506,JURISPRUDENCIA-SELECIONADA-20506,6,licitação técnica e preço
20596,JURISPRUDENCIA-SELECIONADA-20596,6,atestados e capacidade técnica e similaridade
70413,JURISPRUDENCIA-SELECIONADA-70413,6,principio da eficiencia e estrita legalidade
29664,JURISPRUDENCIA-SELECIONADA-29664,6,"""boa-fé"" e erro"
93014,JURISPRUDENCIA-SELECIONADA-93014,6,convênio e cumprimento do objeto
13688,JURISPRUDENCIA-SELECIONADA-13688,6,preço estimado e pregão
21187,JURISPRUDENCIA-SELECIONADA-21187,6,consórcio e qualificação técnica
17022,JURISPRUDENCIA-SELECIONADA-17022,6,aditivo e compensação
118913,JURISPRUDENCIA-SELECIONADA-118913,6,"""subcontratação"" e ""dano ao erário"""
31028,JURISPRUDENCIA-SELECIONADA-31028,6,prazo e contrato e servicos  e advocaticios
135564,JURISPRUDENCIA-SELECIONADA-135564,6,prescrição e contas ordinárias
31574,JURISPRUDENCIA-SELECIONADA-31574,6,vínculo e licitação
22108,JURISPRUDENCIA-SELECIONADA-22108,6,vínculo e licitação
21798,JURISPRUDENCIA-SELECIONADA-21798,6,vínculo e licitação
123011,JURISPRUDENCIA-SELECIONADA-123011,6,"caracteróticas, quantidades e prazos"
105172,JURISPRUDENCIA-SELECIONADA-105172,6,vinculação e esclarecimento
72502,JURISPRUDENCIA-SELECIONADA-72502,6,especificações e termo de referência
113541,JURISPRUDENCIA-SELECIONADA-113541,6,vedação a inclusão de documentos novos
104180,JURISPRUDENCIA-SELECIONADA-104180,6,"""licitação"" e ""julgamento"" e ""propostas"""
34323,JURISPRUDENCIA-SELECIONADA-34323,6,capacidade técnico profissional e 
14890,JURISPRUDENCIA-SELECIONADA-14890,6,impedimento de licitar e contratar
72352,JURISPRUDENCIA-SELECIONADA-72352,6,tempo e aposentado e tempo adj2 serviço
10089,JURISPRUDENCIA-SELECIONADA-10089,6,acréscimos e supressões
34929,JURISPRUDENCIA-SELECIONADA-34929,6,"""licitação"" e ""suspensão"" e ""administração"""
34995,JURISPRUDENCIA-SELECIONADA-34995,6,"""licitação"" e ""suspensão"" e ""administração"""
30380,JURISPRUDENCIA-SELECIONADA-30380,6,pccs e pensão e sentença
1985,JURISPRUDENCIA-SELECIONADA-1985,6,"""credenciamento"" e ""saúde"""
20547,JURISPRUDENCIA-SELECIONADA-20547,6,"bdi e ""custos indiretos"""
54765,JURISPRUDENCIA-SELECIONADA-54765,6,"""técnica e preço"""
53626,JURISPRUDENCIA-SELECIONADA-53626,6,supervisão e gerenciamento de obras
22780,JURISPRUDENCIA-SELECIONADA-22780,6,parcelas de maior relevância e valor significativo
110879,JURISPRUDENCIA-SELECIONADA-110879,6,adesao a ata orgao não participante
5606,JURISPRUDENCIA-SELECIONADA-5606,6,vínculo e licitação
147727,JURISPRUDENCIA-SELECIONADA-147727,6,pesquisa e preço
32034,JURISPRUDENCIA-SELECIONADA-32034,5,"""boa-fé"" e erro"
56445,JURISPRUDENCIA-SELECIONADA-56445,5,cancelamento de restos a pagar
22785,JURISPRUDENCIA-SELECIONADA-22785,5,marca e padronização
32032,JURISPRUDENCIA-SELECIONADA-32032,5,"""boa-fé"" e erro"
18001,JURISPRUDENCIA-SELECIONADA-18001,5,aditivo e compensação
17249,JURISPRUDENCIA-SELECIONADA-17249,5,aditivo e compensação
17370,JURISPRUDENCIA-SELECIONADA-17370,5,locação e imóvel e modalidade e licitação
31628,JURISPRUDENCIA-SELECIONADA-31628,5,pesquisa e mercado e preço
103374,JURISPRUDENCIA-SELECIONADA-103374,5,contrato e guarda-chuva
61974,JURISPRUDENCIA-SELECIONADA-61974,5,é possível considerar como falha formal a execução de despesas fora da vigência do convênio
33083,JURISPRUDENCIA-SELECIONADA-33083,5,vínculo e licitação
25663,JURISPRUDENCIA-SELECIONADA-25663,5,empresa pequeno porte  e faturamento
22169,JURISPRUDENCIA-SELECIONADA-22169,5,pesquisa e mercado e preço
18452,JURISPRUDENCIA-SELECIONADA-18452,5,restos a pagar
23581,JURISPRUDENCIA-SELECIONADA-23581,5,nomeação e após e prazo
19340,JURISPRUDENCIA-SELECIONADA-19340,5,restos a pagar
39642,JURISPRUDENCIA-SELECIONADA-39642,5,"""boa-fé"" e erro"
130410,JURISPRUDENCIA-SELECIONADA-130410,5,"fiscalizar e ""aplicação de recursos repassados pela união"" e convênio"
61107,JURISPRUDENCIA-SELECIONADA-61107,5,jornada adj de adj trabalho e flexibilização
21229,JURISPRUDENCIA-SELECIONADA-21229,5,técnica e preço
21939,JURISPRUDENCIA-SELECIONADA-21939,5,"maior complexidade, relevância e valor significativo"
18359,JURISPRUDENCIA-SELECIONADA-18359,5,aditivo e compensação
16274,JURISPRUDENCIA-SELECIONADA-16274,5,ana arraes e saúde
13657,JURISPRUDENCIA-SELECIONADA-13657,5,aditivo e compensação
16892,JURISPRUDENCIA-SELECIONADA-16892,5,ana arraes e saúde
25230,JURISPRUDENCIA-SELECIONADA-25230,5,vínculo e licitação
29350,JURISPRUDENCIA-SELECIONADA-29350,5,pesquisa e preço
18044,JURISPRUDENCIA-SELECIONADA-18044,5,"""contrato administrativo"" e ""prestacao de servicos"" e "" sistema unico de saude"""
21867,JURISPRUDENCIA-SELECIONADA-21867,5,marcas e aquisição e cartuchos
22095,JURISPRUDENCIA-SELECIONADA-22095,5,pesquisa e preço
58195,JURISPRUDENCIA-SELECIONADA-58195,5,pesquisa e preço
96554,JURISPRUDENCIA-SELECIONADA-96554,5,minimo e experiencia e profissional
139562,JURISPRUDENCIA-SELECIONADA-139562,5,pesquisa e preço
95315,JURISPRUDENCIA-SELECIONADA-95315,5,ana arraes e saúde
52562,JURISPRUDENCIA-SELECIONADA-52562,5,nexo causal e teoria 
14933,JURISPRUDENCIA-SELECIONADA-14933,5,licitação e desclassificação e diligência
31629,JURISPRUDENCIA-SELECIONADA-31629,5,pesquisa e mercado e preço
25554,JURISPRUDENCIA-SELECIONADA-25554,5,creditos  e suplementares
9980,JURISPRUDENCIA-SELECIONADA-9980,5,contraditório e ampla defesa
32020,JURISPRUDENCIA-SELECIONADA-32020,5,"""boa-fé"" e erro"
35182,JURISPRUDENCIA-SELECIONADA-35182,5,empresa pequeno porte  e faturamento
52912,JURISPRUDENCIA-SELECIONADA-52912,5,carona e registro de preço e pesquisa
17230,JURISPRUDENCIA-SELECIONADA-17230,5,vigência contrato e ou crédito orçamentário
53841,JURISPRUDENCIA-SELECIONADA-53841,5,"""técnica e preço"""
134594,JURISPRUDENCIA-SELECIONADA-134594,5,aditivo e compensação
77927,JURISPRUDENCIA-SELECIONADA-77927,5,previsão e edital e possibilidade e adesão ata de registro de preços
23056,JURISPRUDENCIA-SELECIONADA-23056,5,inexigibilidade  e economicidade
75210,JURISPRUDENCIA-SELECIONADA-75210,5,"""licitação"" e ""julgamento"" e ""propostas"""
19410,JURISPRUDENCIA-SELECIONADA-19410,5,preço estimado e pregão
5766,JURISPRUDENCIA-SELECIONADA-5766,5,competência e gestão e banco
6337,JURISPRUDENCIA-SELECIONADA-6337,5,atestado e transferência
69201,JURISPRUDENCIA-SELECIONADA-69201,5,denunciante e parte
15180,JURISPRUDENCIA-SELECIONADA-15180,5,"""técnica e preço"""
34633,JURISPRUDENCIA-SELECIONADA-34633,5,impedimento de licitar e contratar
21285,JURISPRUDENCIA-SELECIONADA-21285,5,"""técnica e preço"""
76964,JURISPRUDENCIA-SELECIONADA-76964,5,"despesa e orçamento e ""emissão direta"""
45324,JURISPRUDENCIA-SELECIONADA-45324,5,"""recurso de revisão"" e ""efeito suspensivo"""
88930,JURISPRUDENCIA-SELECIONADA-88930,5,desvio de finalidade e ente federado
21210,JURISPRUDENCIA-SELECIONADA-21210,5,"""técnica e preço"""
134867,JURISPRUDENCIA-SELECIONADA-134867,5,inexigibilidade e singularidade
235,JURISPRUDENCIA-SELECIONADA-LEGADA-235,5,"""concurso público"" e ""administração indireta"""
37601,JURISPRUDENCIA-SELECIONADA-37601,5,sicro e sinapi
50987,JURISPRUDENCIA-SELECIONADA-50987,5,auditoria e interna
3452,JURISPRUDENCIA-SELECIONADA-3452,5,acumulação e licença
18089,JURISPRUDENCIA-SELECIONADA-18089,5,despesa e sem e cobertura e contratual e 
19390,JURISPRUDENCIA-SELECIONADA-19390,5,preço estimado e pregão
38932,JURISPRUDENCIA-SELECIONADA-38932,5,prestação de contas e irregularidades e nota fiscal
20927,JURISPRUDENCIA-SELECIONADA-20927,5,consórcio e limitação 
34297,JURISPRUDENCIA-SELECIONADA-34297,5,fusão e cisão e incorporação
26050,JURISPRUDENCIA-SELECIONADA-26050,5,citação e validade
38596,JURISPRUDENCIA-SELECIONADA-38596,5,"""pessoalidade e subordinação"""
12428,JURISPRUDENCIA-SELECIONADA-12428,5,comissão e edital
43957,JURISPRUDENCIA-SELECIONADA-43957,5,retenção e trabalhista
97740,JURISPRUDENCIA-SELECIONADA-97740,5,comissão e edital
73794,JURISPRUDENCIA-SELECIONADA-73794,5,obras e registro de preços
17006,JURISPRUDENCIA-SELECIONADA-17006,5,irregularidade e contraditório
141193,JURISPRUDENCIA-SELECIONADA-141193,5,preço estimado e pregão
10089,JURISPRUDENCIA-SELECIONADA-10089,5,compensação e acréscimo
38563,JURISPRUDENCIA-SELECIONADA-38563,5,"""transporte escolar"" e ""contratação de serviços"""
110408,JURISPRUDENCIA-SELECIONADA-110408,5,contagem adj2 recíproca e recolhimento e privada
98454,JURISPRUDENCIA-SELECIONADA-98454,5,impedimento de licitar e contratar
106904,JURISPRUDENCIA-SELECIONADA-106904,5,"""transporte escolar"" e ""contratação de serviços"""
53646,JURISPRUDENCIA-SELECIONADA-53646,5,atestado e concomitante
15253,JURISPRUDENCIA-SELECIONADA-15253,4,pesquisa e preço
20214,JURISPRUDENCIA-SELECIONADA-20214,4,concurso adj público e diploma
68489,JURISPRUDENCIA-SELECIONADA-68489,4,conduta e dolosa
33056,JURISPRUDENCIA-SELECIONADA-33056,4,marca e padronização
22812,JURISPRUDENCIA-SELECIONADA-22812,4,pesquisa e mercado e preço
43880,JURISPRUDENCIA-SELECIONADA-43880,4,pesquisa e preço
17226,JURISPRUDENCIA-SELECIONADA-17226,4,reajuste e apostilamento
30125,JURISPRUDENCIA-SELECIONADA-30125,4,aposentadoria e incorporação
21497,JURISPRUDENCIA-SELECIONADA-21497,4,obrigatoriedade de análise financeira e prestação de contas
22166,JURISPRUDENCIA-SELECIONADA-22166,4,pesquisa e preço
32871,JURISPRUDENCIA-SELECIONADA-32871,4,concurso público e taxa de inscrição
32942,JURISPRUDENCIA-SELECIONADA-32942,4,preço estimado e pregão
22813,JURISPRUDENCIA-SELECIONADA-22813,4,pesquisa e mercado e preço
21827,JURISPRUDENCIA-SELECIONADA-21827,4,pesquisa e mercado e preço
18860,JURISPRUDENCIA-SELECIONADA-18860,4,preço estimado e pregão
42820,JURISPRUDENCIA-SELECIONADA-42820,4,o reajuste e a recomposição possuem fundamentos distintos.
35008,JURISPRUDENCIA-SELECIONADA-35008,4,"""subcontratação"" e ""dano ao erário"""
26312,JURISPRUDENCIA-SELECIONADA-26312,4,ausência  e responsabilidade e gestor  e terceiro
32617,JURISPRUDENCIA-SELECIONADA-32617,4,prorrogação e excepcional
35285,JURISPRUDENCIA-SELECIONADA-35285,4,microempresa e empresa de pequeno porte
32033,JURISPRUDENCIA-SELECIONADA-32033,4,"""boa-fé"" e erro"
32023,JURISPRUDENCIA-SELECIONADA-32023,4,"""boa-fé"" e erro"
32024,JURISPRUDENCIA-SELECIONADA-32024,4,"""boa-fé"" e erro"
33881,JURISPRUDENCIA-SELECIONADA-33881,4,pis e cofins
134978,JURISPRUDENCIA-SELECIONADA-134978,4,permanente e benefício
34238,JURISPRUDENCIA-SELECIONADA-34238,4,consórcio e competitividade
92054,JURISPRUDENCIA-SELECIONADA-92054,4,padronização e licitação
54874,JURISPRUDENCIA-SELECIONADA-54874,4,"""credenciamento"" e ""saúde"""
35917,JURISPRUDENCIA-SELECIONADA-35917,4,padronização e licitação
