INDEX_NAME,RETRIEVER_TYPE,RANKER_TYPE,NUM_EXPANSAO,EXPANSOR_CRITERIA,NDCG@5_count,NDCG@5_mean,NDCG@5_median,NDCG@10_count,NDCG@10_mean,NDCG@10_median,NDCG@15_count,NDCG@15_mean,NDCG@15_median,NDCG@20_count,NDCG@20_mean,NDCG@20_median,PRECISION@50_count,PRECISION@50_mean,PRECISION@50_median,RECALL@50_count,RECALL@50_mean,RECALL@50_median,PRECISION@100_count,PRECISION@100_mean,PRECISION@100_median,RECALL@100_count,RECALL@100_mean,RECALL@100_median
indir_juris_tcu,bm25,PTT5_INDIR_83,9,join_30_ptt5_indir,150,64.55193333333334,70.08500000000001,150,59.74066666666667,65.245,150,62.83893333333334,66.87,150,65.75833333333334,70.11,150,13.773333333333333,14.0,150,80.64481333333333,90.0,150,7.346666666666667,8.0,150,85.81234666666667,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,5,join_30_ptt5_indir,149,64.9573154362416,71.08,149,60.11026845637584,66.44,149,63.61194630872483,67.66,149,65.85577181208053,71.25,149,14.0,16.0,149,81.65930201342283,90.0,149,7.429530201342282,8.0,149,86.60593959731544,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,7,join_30_ptt5_indir,149,64.21422818791946,68.86,149,60.1603355704698,64.84,149,62.89154362416107,68.2,149,65.5814765100671,70.57,149,13.879194630872483,16.0,149,81.18189261744968,90.0,149,7.342281879194631,8.0,149,85.77508724832214,100.0
indir_juris_tcu_term,bm25,PTT5_INDIR_83,1,join_30_ptt5_indir,150,63.984199999999994,70.66499999999999,150,60.21313333333333,65.155,150,63.68586666666666,69.50999999999999,150,66.1394,70.195,150,14.413333333333334,16.0,150,84.23956666666666,100.0,150,7.753333333333333,8.5,150,90.14658666666666,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,4,join_30_ptt5_indir,150,65.20213333333334,71.06,150,60.844,66.525,150,63.56286666666667,66.12,150,65.84553333333334,69.91499999999999,150,14.106666666666667,16.0,150,82.38928666666666,90.0,150,7.453333333333333,8.0,150,86.50438666666666,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,2,join_30_ptt5_indir,150,66.23606666666666,72.27,150,60.85013333333334,65.94,150,64.20313333333333,68.24000000000001,150,67.21093333333333,71.61,150,14.146666666666667,16.0,150,83.06902,90.4545,150,7.453333333333333,8.0,150,87.20685333333334,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,3,join_30_ptt5_indir,150,65.37126666666667,70.98,150,60.98933333333333,66.4,150,63.59373333333333,67.755,150,66.4982,70.46000000000001,150,14.026666666666667,16.0,150,82.52412,90.0,150,7.413333333333333,8.0,150,86.67895333333334,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,1,join_30_ptt5_indir,149,68.07087248322148,72.27,149,63.11208053691276,67.34,149,66.60375838926176,71.4,149,69.55899328859061,74.1,149,14.496644295302014,16.0,149,84.69861073825504,90.909,149,7.630872483221476,8.0,149,88.80409395973155,100.0
indir_juris_tcu_term,bm25,PTT5_INDIR_83,0,none,150,67.47319999999999,72.27,150,64.21213333333333,67.805,150,67.68353333333334,70.985,150,70.26566666666668,74.165,150,15.28,16.0,150,88.86933333333333,100.0,150,7.94,9.0,150,92.17636666666667,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,0,none,150,71.63553333333333,76.42,150,67.37726666666667,71.825,150,70.42506666666667,73.005,150,73.01253333333332,76.03,150,15.173333333333334,16.0,150,88.37729333333333,100.0,150,7.833333333333333,9.0,150,91.10758666666668,100.0
