INDEX_NAME,RETRIEVER_TYPE,RANKER_TYPE,NUM_EXPANSAO,EXPANSOR_CRITERIA,NDCG@5_count,NDCG@5_mean,NDCG@5_median,NDCG@10_count,NDCG@10_mean,NDCG@10_median,NDCG@15_count,NDCG@15_mean,NDCG@15_median,NDCG@20_count,NDCG@20_mean,NDCG@20_median,PRECISION@50_count,PRECISION@50_mean,PRECISION@50_median,RECALL@50_count,RECALL@50_mean,RECALL@50_median,PRECISION@100_count,PRECISION@100_mean,PRECISION@100_median,RECALL@100_count,RECALL@100_mean,RECALL@100_median
indir_juris_tcu_term,bm25,MINILM_INDIR_400,3,join_30_minilm_indir,150,52.2408,57.8,150,49.1436,54.97,150,51.996066666666664,56.815,150,54.03866666666667,60.49,150,12.626666666666667,14.0,150,73.90270000000001,80.0,150,7.306666666666667,8.0,150,84.91438,90.0
indir_juris_tcu_term,bm25,none,3,join_30_minilm_indir,150,53.809599999999996,58.19,150,50.53006666666667,55.315,150,53.632266666666666,57.775000000000006,150,56.395333333333326,59.795,150,12.64,12.0,150,74.73237333333333,84.5235,150,7.266666666666667,8.0,150,84.93265333333333,100.0
indir_juris_tcu_synonym,bm25,PTT5_INDIR_83,2,join_30_ptt5_indir,150,54.397933333333334,59.894999999999996,150,51.6222,55.585,150,54.75566666666667,59.195,150,57.636466666666664,62.85,150,13.16,14.0,150,77.83840000000001,90.0,150,7.24,8.0,150,85.06351333333333,100.0
indir_juris_tcu_term,bm25,MINILM_INDIR_400,2,join_30_minilm_indir,150,52.599133333333334,60.18,150,49.06986666666666,54.565,150,51.63133333333333,57.315,150,54.485533333333336,59.485,150,13.013333333333334,14.0,150,75.20692,80.0,150,7.36,8.0,150,85.08401333333335,90.0
indir_juris_tcu_term,bm25,none,1,join_30_minilm_indir,150,56.88446666666667,62.465,150,53.3182,57.195,150,56.1828,60.144999999999996,150,59.08373333333333,63.0,150,13.333333333333334,15.0,150,78.11265999999999,90.0,150,7.306666666666667,8.0,150,85.18626,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,7,join_30_ptt5_indir,150,63.78613333333333,68.85,150,59.75926666666666,64.45,150,62.47226666666667,67.935,150,65.14426666666667,70.495,150,13.786666666666667,16.0,150,80.64068,89.4445,150,7.293333333333333,8.0,150,85.20325333333334,95.8335
indir_juris_tcu_term,bm25,MINILM_INDIR_400,6,join_30_minilm_indir,150,53.6124,61.94,150,49.65633333333333,54.715,150,52.144866666666665,57.88,150,54.830133333333336,61.57,150,12.973333333333333,13.0,150,76.28713333333333,80.0,150,7.32,8.0,150,85.39406,90.0
indir_juris_tcu,bm25,PTT5_INDIR_83,10,join_30_ptt5_indir,150,64.6118,70.08500000000001,150,59.62733333333333,65.245,150,62.64393333333334,66.87,150,65.60733333333333,70.11,150,13.733333333333333,14.0,150,80.45693333333334,90.0,150,7.32,8.0,150,85.55174000000001,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,8,join_30_ptt5_indir,150,64.14126666666667,70.64,150,59.73846666666667,65.25999999999999,150,62.71286666666667,67.31,150,65.49153333333334,70.015,150,13.853333333333333,16.0,150,81.08208666666667,90.0,150,7.333333333333333,8.0,150,85.70274666666667,100.0
indir_juris_tcu_term,bm25,none,0,none,150,59.0108,63.605000000000004,150,55.70706666666666,60.31,150,58.925466666666665,63.835,150,61.78533333333333,65.25999999999999,150,13.533333333333333,15.0,150,79.38658,90.0,150,7.373333333333333,8.0,150,85.73838666666667,100.0
indir_juris_tcu_term,bm25,MINILM_INDIR_400,0,none,150,51.6556,55.31,150,49.24593333333333,54.334999999999994,150,51.426066666666664,54.34,150,54.30886666666667,58.2,150,13.213333333333333,14.0,150,76.21168,80.0,150,7.406666666666666,8.0,150,85.77445333333333,90.909
indir_juris_tcu,bm25,PTT5_INDIR_83,9,join_30_ptt5_indir,150,64.55193333333334,70.08500000000001,150,59.74066666666667,65.245,150,62.83893333333334,66.87,150,65.75833333333334,70.11,150,13.773333333333333,14.0,150,80.64481333333333,90.0,150,7.346666666666667,8.0,150,85.81234666666667,100.0
